station,n_windows,mean_abs_ac_0p1_2s,abs_ac_0p5s,abs_ac_1s,ZN_mean_coh,ZE_mean_coh,NE_mean_coh
R0ECF,6,0.03142456639344144,0.03629768123040202,0.021934801760216276,0.12920459798214698,0.17736210837838806,0.1350632608544039
R2004,4,0.053834115867717774,0.04371006227150928,0.04341209789381048,0.19422276525093832,0.2292498281351579,0.27464023370326346
R24AE,7,0.09611493231924295,0.12356294341334469,0.05036996461003556,0.10211601590234567,0.1313976758138263,0.14082774912455842
R3B66,7,0.04167313732412915,0.03687668847865222,0.029784306936598153,0.19660805009184046,0.16674868859204134,0.10083762870535681
R3E8B,3,0.04734314716628418,0.02350322261409228,0.018431632828043044,0.09078125423658041,0.1187097705608666,0.16269166224067855
R4DE2,5,0.1618483336575962,0.21492437825090513,0.08213678386450919,0.16076350096599223,0.07406557931236929,0.09858102304112348
R53B7,1,0.4896518401453249,0.292516626729332,0.4079231742587486,0.506953895432394,0.4497881745184286,0.563520873536387
R57B0,3,0.14525045457544838,0.11483361785129194,0.1631878943625427,0.22566396125578306,0.14641243580317806,0.1286060825562141
R5C4C,5,0.023146236116416682,0.048646604308007935,0.011291523695044598,0.13021724891700234,0.10566977095532538,0.0878770472793912
R6468,10,0.044966215888012376,0.03541524359699352,0.04137503494233982,0.3192123978599399,0.3304505061329607,0.4519313631894139
R663D,3,0.07656405436176042,0.15142107143462535,0.1138843017867506,0.16536624372204442,0.09595181505693569,0.12538716354549737
R686A,7,0.05493259596610453,0.05457800069388682,0.049065373950119125,0.1338178692988561,0.11889061038805532,0.10969668506267151
R6928,3,0.24707160974820302,0.15404098869767405,0.3909223300044215,0.07269557623280395,0.08121731111522938,0.07427381153971993
R6995,5,0.04042686024200432,0.07112639186168514,0.043521544174875776,0.14801154988493548,0.10121179604931095,0.08931985848670157
R77C3,4,0.05407316881304088,0.054604057500368355,0.055918244225532224,0.14138356102550187,0.16640255443044183,0.1767162383007761
R7813,4,0.24839471469719387,0.44644543126820313,0.40105900035099307,0.02472394218118516,0.026359380518341663,0.08750328071126962
R7BF6,7,0.04927812540146436,0.055294853952846265,0.07482609371588211,0.12609293680889228,0.22742999957589205,0.12781252861150685
R81CF,2,0.14149260351867127,0.2575278017482441,0.1967691164695955,0.17146503080109168,0.18121392547806675,0.13928179761365095
R8219,5,0.05370066594246738,0.04736171682017168,0.0387145222733065,0.09564753325346065,0.08161359970199257,0.06367696898227479
R87FD,5,0.08763436806545334,0.16511948758292466,0.05210247961943737,0.21749545057265524,0.27007155448493225,0.23173635968385475
R8A9B,5,0.11024077733152511,0.15536665570977617,0.12251637738288594,0.4139480099282665,0.10702082428548018,0.10770327572406985
R8D8E,6,0.039920477549634514,0.02637743679404177,0.031377640531139186,0.08324888884118964,0.08784429602416904,0.08298107188057706
R92E0,3,0.09962316424890753,0.21817048925050128,0.1133524062332946,0.0934701933401216,0.09278439385483997,0.09474346542087575
R976A,7,0.16251322264204335,0.050187055910304174,0.2776059164496971,0.10841467297051453,0.17805628802841766,0.08085976821974893
R985F,4,0.14997599337691433,0.12165778144607564,0.15735655772577112,0.14533625339403008,0.16570213136063627,0.14413447532834014
R9F13,9,0.05855412773120678,0.06826778479939598,0.05572516679011306,0.12142364899309874,0.0646876116746991,0.06611982833698055
RA825,4,0.04576943791973105,0.028291108565512875,0.03250360960801829,0.22095723029766792,0.2056528134875154,0.16070085805547646
RAB7F,7,0.11257302137033087,0.046879197218866714,0.11714518938329525,0.282213226768371,0.2721827042923903,0.3956032929475369
RAC20,2,0.2527475982799363,0.310424462875662,0.13720520366180497,0.19383874078854585,0.17678879234799147,0.17936569465823837
RB0FB,4,0.02943981050018725,0.048149312489991145,0.019120793856629313,0.13037339958965533,0.1263627310919688,0.13512139275458038
RB53D,6,0.18578007867796742,0.2864826214194076,0.14053362342996087,0.0988606229977684,0.09223407249762583,0.08335338476180423
RC131,2,0.04400603627396183,0.05190338963173559,0.026839424744155033,0.18597923126630556,0.10856087915315799,0.1822546848827872
RC2BF,4,0.3609436991883836,0.5418630006261401,0.2092204254829535,0.09100449057705774,0.08196362365208062,0.10756026809685684
RCBF0,6,0.05361757178124169,0.02960807299258813,0.027349965964357795,0.10767863803583097,0.06930155882431661,0.06451999482414882
RCCE6,4,0.03049974769353654,0.021339361026575573,0.01842426393747055,0.09056332735805128,0.2064020251266463,0.09727243843925004
RD349,3,0.6040456984343617,0.7524801369835952,0.18165023018410642,0.19341494776940563,0.1690225080262847,0.21517115218706637
RE8DB,3,0.12364574539541992,0.3143967455471421,0.057099433928178,0.25108757465517306,0.26461664137895957,0.26132482466846846
RF4CA,5,0.02666368597022674,0.022462754032869663,0.014256730006156997,0.06881803674890703,0.07595279004838967,0.05690761229962945
