method,target_snr_db,n,d_cov_gain_vs_identity_mean,theta_reduction_vs_identity_mean,d_cov_clean_mean,theta_deg_mean,corr_n_mean,corr_e_mean
Bandpass,-5.0,272,-0.00011466531492379794,-0.09305697351022021,0.2527804875775768,29.814384042283706,0.48170549242313604,0.48072562592829204
Bandpass,0.0,272,-0.002368965119033582,-0.4928261076861097,0.1730841490649989,19.44020730429764,0.6842097726242827,0.6784038800252599
Bandpass,5.0,272,-0.006738279671105117,-0.6276058073457094,0.09470102514117301,9.620102487021999,0.8457187873150255,0.8379070608637401
Identity,-5.0,272,0.0,0.0,0.25266582226265305,29.72132706877349,0.48517521965961685,0.4801146805078855
Identity,0.0,272,0.0,0.0,0.1707151839459653,18.94738119661153,0.6907955641667995,0.6815281664588985
Identity,5.0,272,0.0,0.0,0.08796274547006788,8.992496679676288,0.8550898906701331,0.8452685513176924
Wiener_blind,-5.0,272,-0.0010687626270880482,1.4229376085510206,0.25373458488974115,28.298389460222467,0.47520485879882557,0.46604261417020715
Wiener_blind,0.0,272,0.007581859557678535,1.036159383812037,0.16313332438828676,17.911221812799493,0.6903641459210571,0.671794476946157
Wiener_blind,5.0,272,0.0034806334457994385,-0.5817167699800865,0.08448211202426845,9.574213449656376,0.8572140986782701,0.8415677551055518
Wiener_oracle,-5.0,272,0.009117708092771168,4.989488673666907,0.24354811416988187,24.73183839510658,0.6246685925364823,0.604957209135788
Wiener_oracle,0.0,272,-0.02046051934926457,-1.2247114967100075,0.19117570329522984,20.17209269332154,0.7551991971041719,0.7389306972211945
Wiener_oracle,5.0,272,-0.04550725102549653,-4.99922954961821,0.1334699964955644,13.991726229294501,0.8635427833689125,0.8508427860072736
p01_e07,-5.0,272,-0.02920924237704737,-2.5070530317338466,0.2818750646397004,32.22838010050733,0.24710511679991154,0.24759474013484722
p01_e07,0.0,272,-0.03509226986109836,-5.466495623159439,0.20580745380706364,24.41387681977097,0.36944456598491954,0.3584580773738936
p01_e07,5.0,272,-0.05057527670864449,-7.813628589622933,0.1385380221787124,16.80612526929922,0.4750915386762435,0.4652547108665632
p05_e16,-5.0,272,-0.019599310656030225,-2.286162231003489,0.27226513291868326,32.00748929977698,0.24337742173746785,0.24432502917806953
p05_e16,0.0,272,-0.03893225043742131,-5.6109810113660235,0.20964743438338662,24.55836220797756,0.3647102112816755,0.3520318125812292
p05_e16,5.0,272,-0.05636725291510409,-7.971961561071904,0.144329998385172,16.964458240748193,0.4769439354828359,0.4566751439018297
p0_e06,-5.0,272,-0.04814472232333392,-4.002207652156594,0.300810544585987,33.72353472093008,0.25923809114931473,0.2509788967949709
p0_e06,0.0,272,-0.05045736269174614,-6.01123684156377,0.22117254663771144,24.9586180381753,0.3886816318766222,0.3651744362664913
p0_e06,5.0,272,-0.06805419236210769,-9.071267225903805,0.15601693783217557,18.063763905580092,0.49776765074064666,0.47325204166116375
