method,recovery_fraction,target_snr_db,n,clean_snr_gain_vs_identity_mean,corr_z_mean,amp_ratio_clean_median,background_suppression_db_mean
Identity,0.0,-5.0,272,0.0,0.5106705847939677,2.118890166282654,-6.003293011451104e-14
Identity,0.0,0.0,272,0.0,0.7064891785391818,1.42532217502594,-1.0681699352861982e-13
Identity,0.0,5.0,272,0.0,0.8584084071060589,1.1455177068710327,-1.8990160447964035e-13
OracleRecovery30,0.3,-5.0,272,3.098039331328089,0.6337179628253546,1.638729989528656,3.0980393276014606
OracleRecovery30,0.3,0.0,272,3.0980393324301128,0.8084922601331384,1.231825053691864,3.0980393270346083
OracleRecovery30,0.3,5.0,272,3.098039330576388,0.9180760818190218,1.0706449747085571,3.0980393275754596
OracleRecovery50,0.5,-5.0,272,6.020599912083078,0.7427903552575132,1.3427526354789734,6.020599913279504
OracleRecovery50,0.5,0.0,272,6.0205999141158415,0.8809884182536137,1.1226946711540222,6.020599913279411
OracleRecovery50,0.5,5.0,272,6.020599913774705,0.9534147242832809,1.0286340713500977,6.020599913279244
OracleRecovery70,0.7,-5.0,272,10.457574550827156,0.8689087136949473,1.1381202936172485,10.457574556920749
OracleRecovery70,0.7,0.0,272,10.457574548989735,0.947901999745405,1.0351239442825317,10.457574556817807
OracleRecovery70,0.7,5.0,272,10.457574551048886,0.9814835218952858,1.00766921043396,10.457574557082573
OracleRecovery90,0.9,-5.0,272,19.999999831666756,0.9795762784236414,1.0121936798095703,19.999999851091406
OracleRecovery90,0.9,0.0,272,19.9999998509907,0.9931755575306601,1.000739872455597,19.99999985096676
OracleRecovery90,0.9,5.0,272,19.999999887924155,0.9977972233797537,0.9991921186447144,19.999999850458153
