method,recovery_fraction,metric,mean,ci_low,ci_high,n_stations
OracleRecovery30,0.3,clean_snr_gain_vs_identity,3.098039331444863,3.0980393302659897,3.098039332697608,34
OracleRecovery30,0.3,corr_z,0.09490604477943552,0.09093929564376259,0.09876666166006698,34
OracleRecovery30,0.3,amp_ratio_clean,-0.38630275128811015,-0.49503227309232545,-0.3012956960254587,34
OracleRecovery30,0.3,background_suppression_db,3.0980393274038427,3.0980393268917803,3.0980393278524403,34
OracleRecovery50,0.5,clean_snr_gain_vs_identity,6.020599913324542,6.0205999117946165,6.0205999148337614,34
OracleRecovery50,0.5,corr_z,0.16720844245173325,0.15975439016804824,0.17475570973688068,34
OracleRecovery50,0.5,amp_ratio_clean,-0.6167135746309571,-0.7970060058558981,-0.47629024354996635,34
OracleRecovery50,0.5,background_suppression_db,6.020599913279386,6.020599913279302,6.020599913279462,34
OracleRecovery70,0.7,clean_snr_gain_vs_identity,10.45757455028859,10.457574548733264,10.457574551841047,34
OracleRecovery70,0.7,corr_z,0.24090868829880996,0.22811104723997747,0.2547986349620379,34
OracleRecovery70,0.7,amp_ratio_clean,-0.8140767954436002,-1.066412906776018,-0.6191000529290999,34
OracleRecovery70,0.7,background_suppression_db,10.457574556940378,10.457574556522083,10.457574557377084,34
OracleRecovery90,0.9,clean_snr_gain_vs_identity,19.999999856860537,19.999999851840375,19.99999986188263,34
OracleRecovery90,0.9,corr_z,0.2983269629649488,0.2775876147337424,0.3218213120982164,34
OracleRecovery90,0.9,amp_ratio_clean,-0.9519654616859614,-1.2706269384434847,-0.7075947900576628,34
OracleRecovery90,0.9,background_suppression_db,19.999999850838773,19.999999850349727,19.99999985139377,34
