method,n,output_vs_clean_snr,amp_ratio_clean,corr_z,background_suppression_db
Bandpass,816,0.3746311105040691,1.8076197874604487,0.6833338821166923,0.56976298867858
Noisy,816,1.2904758070421108e-08,1.9505626868967916,0.692346481549994,-1.171456970306744e-13
Wiener_blind,816,1.754605362815334,1.4404130209529518,0.6899905270780221,2.2235186231565973
Wiener_oracle,816,3.692625326263445,0.48552021574155957,0.7647204270400493,16.73604816849871
exp5_p05_seed42_e020,816,-0.210821329839584,1.0582573903067147,0.37564088997595546,5.860908999285187
exp5_p05_seed43_e022,816,-0.14872580231563248,1.06453061836096,0.3918152175524738,5.871046983114576
exp5_p05_seed44_e014,816,-0.09771699856789437,0.9526212237702281,0.37696482026875416,6.500577129005409
exp5_p0_seed42_e015,816,0.2514640849291293,0.6189676216146087,0.35030141699228595,9.647388914498388
exp5_p0_seed43_e008,816,-0.08588047322629873,1.1080798972398043,0.4084671646304654,5.321636040406274
exp5_p0_seed44_e013,816,-0.009333607457222668,0.9047218633213026,0.34451713951719726,8.16436534737171
