lambda_pol,lambda_label,seed,run_name,m,n_repeats,full_epoch,mode_epoch,mode_frequency,full_epoch_frequency,top2_epochs,top2_frequency,n_unique_selected_epochs
0.5,lambda=0.5,42,exp5_p05_seed42,5,2000,20,20,0.3935,0.3935,20 28,0.6125,13
0.5,lambda=0.5,42,exp5_p05_seed42,10,2000,20,20,0.442,0.442,20 28,0.692,9
0.5,lambda=0.5,42,exp5_p05_seed42,15,2000,20,20,0.483,0.483,20 28,0.73,8
0.5,lambda=0.5,42,exp5_p05_seed42,20,2000,20,20,0.528,0.528,20 28,0.7725,6
0.5,lambda=0.5,42,exp5_p05_seed42,25,2000,20,20,0.577,0.577,20 28,0.8025,6
0.5,lambda=0.5,43,exp5_p05_seed43,5,2000,22,22,0.304,0.304,22 21,0.44,18
0.5,lambda=0.5,43,exp5_p05_seed43,10,2000,22,22,0.4105,0.4105,22 23,0.5615,14
0.5,lambda=0.5,43,exp5_p05_seed43,15,2000,22,22,0.449,0.449,22 23,0.6085,13
0.5,lambda=0.5,43,exp5_p05_seed43,20,2000,22,22,0.4825,0.4825,22 23,0.652,9
0.5,lambda=0.5,43,exp5_p05_seed43,25,2000,22,22,0.512,0.512,22 23,0.6775,8
0.5,lambda=0.5,44,exp5_p05_seed44,5,2000,14,14,0.4295,0.4295,14 18,0.6095,11
0.5,lambda=0.5,44,exp5_p05_seed44,10,2000,14,14,0.563,0.563,14 15,0.7075,6
0.5,lambda=0.5,44,exp5_p05_seed44,15,2000,14,14,0.6325,0.6325,14 13,0.774,6
0.5,lambda=0.5,44,exp5_p05_seed44,20,2000,14,14,0.7145,0.7145,14 13,0.8305,5
0.5,lambda=0.5,44,exp5_p05_seed44,25,2000,14,14,0.7665,0.7665,14 13,0.8765,5
0.0,lambda=0,42,exp5_p0_seed42,5,2000,15,15,0.3955,0.3955,15 9,0.505,20
0.0,lambda=0,42,exp5_p0_seed42,10,2000,15,15,0.623,0.623,15 9,0.735,16
0.0,lambda=0,42,exp5_p0_seed42,15,2000,15,15,0.7155,0.7155,15 19,0.8035,11
0.0,lambda=0,42,exp5_p0_seed42,20,2000,15,15,0.786,0.786,15 19,0.8665,9
0.0,lambda=0,42,exp5_p0_seed42,25,2000,15,15,0.8315,0.8315,15 19,0.9065,9
0.0,lambda=0,43,exp5_p0_seed43,5,2000,8,8,0.4895,0.4895,8 7,0.808,6
0.0,lambda=0,43,exp5_p0_seed43,10,2000,8,8,0.533,0.533,8 7,0.9015,5
0.0,lambda=0,43,exp5_p0_seed43,15,2000,8,8,0.5545,0.5545,8 7,0.933,4
0.0,lambda=0,43,exp5_p0_seed43,20,2000,8,8,0.576,0.576,8 7,0.9535,3
0.0,lambda=0,43,exp5_p0_seed43,25,2000,8,8,0.6065,0.6065,8 7,0.973,3
0.0,lambda=0,44,exp5_p0_seed44,5,2000,13,7,0.315,0.2375,7 13,0.5525,13
0.0,lambda=0,44,exp5_p0_seed44,10,2000,13,7,0.418,0.2915,7 13,0.7095,12
0.0,lambda=0,44,exp5_p0_seed44,15,2000,13,7,0.458,0.3235,7 13,0.7815,8
0.0,lambda=0,44,exp5_p0_seed44,20,2000,13,7,0.4625,0.3685,7 13,0.831,8
0.0,lambda=0,44,exp5_p0_seed44,25,2000,13,7,0.4885,0.375,7 13,0.8635,8

